,year,month,intent,police,sex,age,race,other,place,education
70,2012,8,Suicide,0,M,26,Coloured,100,Other specified,Less than Matric
71,2012,8,Suicide,0,F,62,White,100,Home,BA+
72,2012,8,Accidental,0,M,71,White,100,Home,Some college
73,2012,8,Suicide,0,F,44,White,100,Home,Some college
74,2012,9,Accidental,0,M,26,White,100,Home,Matric
75,2012,9,Suicide,0,M,39,White,100,Other specified,Matric
76,2012,9,Undetermined,0,M,26,Coloured,100,Home,Some college
77,2012,9,Suicide,0,M,57,White,100,Home,Matric
78,2012,9,Suicide,0,M,29,Coloured,100,Home,Matric
79,2012,9,Suicide,0,M,24,White,100,Home,Matric
80,2012,9,Homicide,0,F,30,White,100,Other specified,Matric
81,2012,9,Suicide,0,F,50,Coloured,100,Home,BA+
82,2012,9,Suicide,0,M,61,White,100,Home,Matric
83,2012,10,Suicide,0,F,44,White,100,Other specified,NA
84,2012,9,Homicide,1,M,34,White,100,NA,Matric
85,2012,9,Suicide,0,M,28,White,100,Other specified,Matric
86,2012,9,Homicide,0,M,9,Coloured,100,Other specified,Less than Matric
87,2012,9,Suicide,0,M,77,White,100,Home,BA+
88,2012,9,Suicide,0,M,17,White,100,Other specified,Matric
89,2012,10,Suicide,0,M,25,Black,100,Other specified,Matric
90,2012,10,Suicide,0,M,22,Coloured,100,Other specified,Less than Matric
91,2012,9,Undetermined,0,F,22,White,100,Other specified,BA+
92,2012,10,Suicide,0,M,18,White,100,Home,Less than Matric
93,2012,10,Homicide,1,M,24,Coloured,100,NA,Less than Matric
94,2012,9,Accidental,0,F,19,Black,281,Other unspecified,Matric
95,2012,10,Suicide,0,M,61,White,100,Other specified,Matric
96,2012,10,Suicide,0,M,71,White,100,Home,Matric
97,2012,10,Suicide,0,M,36,White,100,Home,Less than Matric
98,2012,10,Homicide,0,M,27,White,100,Other specified,Matric
99,2012,10,Suicide,0,M,49,White,100,Other specified,Some college
100,2012,9,Undetermined,0,M,19,White,100,Home,Less than Matric
101,2012,11,Suicide,0,M,13,Coloured,100,Home,Less than Matric
102,2012,10,Suicide,0,M,20,White,100,Home,Some college
103,2012,11,Suicide,0,M,30,Black,211,Home,Some college
104,2012,10,Homicide,0,M,61,White,100,Home,Some college
105,2012,11,Suicide,0,F,51,White,100,Home,Less than Matric
106,2012,11,Suicide,0,M,33,Black,100,Other specified,Some college
107,2012,11,Suicide,0,M,20,White,100,Other specified,Matric
108,2012,11,Suicide,0,M,50,White,100,Home,Matric
109,2012,11,Suicide,0,F,48,Coloured,100,Home,Some college
110,2012,11,Suicide,0,M,21,Coloured,100,Home,Matric
111,2012,11,Suicide,0,M,43,White,100,Other specified,Matric
112,2012,12,Suicide,0,M,21,White,100,Other specified,Matric
113,2012,12,Suicide,0,M,51,White,100,Home,Matric
114,2012,11,Suicide,0,M,90,White,100,Home,Less than Matric
115,2012,12,Suicide,0,F,33,Coloured,100,Home,Less than Matric
116,2012,12,Suicide,0,M,43,Black,100,Home,Some college
117,2012,11,Suicide,0,M,48,White,998,Home,NA
118,2012,11,Suicide,0,M,24,Coloured,100,Home,Less than Matric
119,2012,12,Suicide,0,M,63,Coloured,100,Other specified,Some college
120,2012,12,Suicide,0,M,46,White,100,Other unspecified,Matric
121,2012,12,Suicide,0,M,32,White,100,Home,Less than Matric
122,2012,12,Suicide,0,M,84,White,100,Other unspecified,BA+
123,2012,10,Suicide,0,M,68,White,100,Other specified,Matric
124,2012,12,Suicide,0,M,13,Black,100,Home,Less than Matric
125,2012,12,Suicide,0,F,89,White,100,Home,BA+
126,2012,12,Homicide,0,M,25,White,100,Home,Some college
127,2012,12,Undetermined,0,M,28,White,100,Home,Some college
128,2012,12,Suicide,0,M,48,White,100,Other specified,Matric
129,2012,12,Suicide,0,M,39,Coloured,100,Home,Matric
130,2012,12,Suicide,0,M,43,White,100,Home,Some college
131,2012,12,Accidental,0,F,31,White,100,Other specified,Some college
132,2012,12,Suicide,0,M,46,White,100,Home,Matric
133,2012,12,Suicide,0,M,33,White,100,Home,Matric
134,2012,12,Undetermined,0,F,31,White,100,Home,Some college
135,2012,1,Suicide,0,F,59,White,100,Home,Matric
136,2012,1,Suicide,0,F,30,White,100,Other unspecified,BA+
137,2012,1,Homicide,0,M,58,Black,100,Home,Less than Matric
138,2012,1,Suicide,0,M,78,White,100,Home,BA+
139,2012,1,Suicide,0,M,60,White,100,Other unspecified,Less than Matric
140,2012,1,Accidental,0,M,61,White,100,Home,Matric
141,2012,1,Homicide,0,M,55,White,100,Other unspecified,Matric
142,2012,1,Suicide,0,M,66,White,100,Home,Matric
143,2012,1,Suicide,0,M,52,White,100,Other unspecified,Matric
144,2012,1,Suicide,0,M,63,White,100,Home,Some college
145,2012,1,Suicide,0,M,40,White,100,Home,BA+
146,2012,1,Homicide,0,M,23,Black,100,Other specified,Less than Matric
147,2012,1,Suicide,0,M,57,White,100,Other unspecified,Matric
148,2012,1,Undetermined,0,M,81,White,100,Home,Matric
149,2012,1,Suicide,0,M,63,White,100,Other unspecified,BA+
150,2012,1,Suicide,0,M,54,White,100,Other unspecified,Less than Matric
151,2012,1,Suicide,0,M,46,White,100,Other unspecified,Matric
152,2012,1,Homicide,0,M,52,White,100,Other specified,Matric
153,2012,1,Suicide,0,M,59,White,100,Home,BA+
154,2012,1,Suicide,0,M,31,Black,100,Other unspecified,Some college
155,2012,1,Suicide,0,M,64,Black,100,Home,Matric
156,2012,1,Suicide,0,F,36,White,100,Other unspecified,Matric
157,2012,1,Homicide,0,M,40,Black,100,Home,Some college
158,2012,1,Homicide,0,M,45,Black,211,Home,Less than Matric
159,2012,1,Suicide,0,M,47,White,100,Other specified,Matric
160,2012,1,Homicide,0,F,53,White,100,Home,Less than Matric
161,2012,1,Suicide,0,M,55,White,100,Other specified,BA+
162,2012,1,Homicide,0,M,26,Black,100,Street,Less than Matric
163,2012,1,Homicide,0,M,28,White,100,Home,Less than Matric
164,2012,1,Homicide,0,M,25,White,100,Home,Less than Matric
165,2012,1,Homicide,0,M,68,Black,100,Home,Some college
166,2012,1,Suicide,0,M,49,Black,100,Other unspecified,BA+
167,2012,1,Homicide,0,F,48,Black,100,Other unspecified,BA+
168,2012,1,Suicide,0,M,68,Black,100,Other unspecified,Some college
169,2012,1,Undetermined,0,M,45,White,100,Home,Matric
170,2012,1,Homicide,0,M,47,White,100,Home,BA+
171,2012,1,Suicide,0,M,37,Black,100,Home,Matric
172,2012,2,Suicide,0,M,37,White,100,Home,Matric
173,2012,1,Homicide,0,M,62,White,100,Trade/service area,Less than Matric
174,2012,1,Suicide,0,M,60,White,100,Other unspecified,Matric
175,2012,1,Suicide,0,F,53,White,100,Home,Some college
176,2012,1,Homicide,0,M,36,Black,100,Street,Less than Matric
177,2012,1,Homicide,0,F,41,White,100,Other unspecified,BA+
178,2012,2,Suicide,0,M,47,White,100,Other unspecified,Matric
179,2012,1,Suicide,0,M,25,White,100,Home,Some college
180,2012,1,Homicide,0,M,30,Black,100,Other unspecified,Less than Matric
181,2012,2,Suicide,0,M,43,White,100,Other unspecified,Some college
182,2012,1,Suicide,0,M,41,Black,100,Home,Matric
183,2012,1,Homicide,0,M,39,Black,100,Other unspecified,Less than Matric
184,2012,2,Suicide,0,M,39,White,100,Other unspecified,Less than Matric
185,2012,1,Homicide,0,M,35,Black,100,Home,Matric
186,2012,2,Homicide,0,M,35,Black,100,Home,Matric
187,2012,2,Suicide,0,M,30,White,100,Other unspecified,Some college
188,2012,2,Homicide,0,M,22,Black,100,Other specified,Less than Matric
189,2012,1,Homicide,0,M,23,Black,100,Home,Matric
190,2012,1,Homicide,0,M,19,Black,100,Home,Less than Matric
191,2012,1,Homicide,0,M,33,Black,100,Home,Matric
192,2012,1,Homicide,0,M,23,Black,261,Home,Less than Matric
193,2012,2,Homicide,0,M,49,White,100,Other unspecified,Some college
194,2012,2,Suicide,0,M,50,White,100,Home,Matric
195,2012,2,Homicide,0,M,44,Black,100,Home,Matric
196,2012,2,Suicide,0,M,46,White,100,Other unspecified,Some college
197,2012,1,Homicide,0,M,46,White,100,Farm,Matric
198,2012,1,Homicide,0,M,21,Black,100,Home,Matric
199,2012,1,Homicide,0,M,42,Black,100,Home,Matric
200,2012,2,Suicide,0,M,42,White,100,Other unspecified,Matric
201,2012,1,Homicide,0,M,34,Black,100,Home,Matric
202,2012,1,Homicide,0,M,50,White,100,Other specified,Less than Matric
203,2012,1,Suicide,0,M,25,White,100,Home,Matric
204,2012,2,Suicide,0,M,60,White,100,Other unspecified,Some college
205,2012,2,Suicide,0,M,47,Black,100,Street,Matric
206,2012,2,Homicide,0,M,36,Black,100,Trade/service area,Less than Matric
207,2012,2,Homicide,0,M,24,Black,100,Home,Some college
208,2012,2,Suicide,0,M,22,White,100,Home,Less than Matric
209,2012,2,Homicide,0,F,20,White,100,Home,Matric
210,2012,2,Suicide,0,M,58,White,100,Other unspecified,Some college
211,2012,1,Suicide,0,M,67,Black,100,Home,BA+
212,2012,2,Homicide,0,F,18,Black,100,Street,Less than Matric
213,2012,2,Homicide,0,F,32,Black,100,Street,Matric
214,2012,2,Suicide,0,M,69,White,100,Home,Matric
215,2012,2,Suicide,0,M,84,White,100,Other unspecified,Some college
216,2012,2,Homicide,0,F,31,Black,100,Home,Matric
217,2012,2,Homicide,0,M,42,Black,100,Industrial/construction,Less than Matric
218,2012,2,Suicide,0,M,20,White,100,Home,Some college
219,2012,2,Suicide,0,M,48,White,100,Home,BA+
220,2012,2,Suicide,0,M,54,White,100,Home,Matric
221,2012,2,Suicide,0,F,37,White,100,Other unspecified,Some college
222,2012,1,Suicide,0,M,56,White,100,Home,Matric
223,2012,2,Homicide,0,M,34,Black,100,Trade/service area,Some college
224,2012,2,Suicide,0,F,20,White,100,Other specified,Some college
225,2012,2,Suicide,0,M,72,Black,100,Home,Less than Matric
226,2012,1,Suicide,0,M,55,White,100,Home,Matric
227,2012,2,Suicide,0,M,35,White,100,Home,Some college
228,2012,1,Suicide,0,F,17,White,100,Other unspecified,Less than Matric
229,2012,3,Suicide,0,M,37,White,100,Home,Matric
230,2012,1,Homicide,0,M,42,Black,100,Other unspecified,Matric
231,2012,2,Homicide,0,M,47,Black,100,Home,Matric
232,2012,2,Suicide,0,M,82,White,100,Home,Some college
233,2012,2,Accidental,0,M,25,White,100,Other unspecified,BA+
234,2012,3,Homicide,0,F,28,White,100,Farm,Matric
235,2012,2,Suicide,0,M,38,White,100,Home,Some college
236,2012,3,Suicide,0,M,49,Black,100,Other unspecified,Matric
237,2012,3,Suicide,0,M,36,Black,100,Home,BA+
238,2012,2,Suicide,0,M,29,White,100,Other unspecified,Some college
239,2012,2,Suicide,0,M,75,White,100,Other unspecified,Matric
240,2012,3,Suicide,0,M,57,White,100,Home,Less than Matric
241,2012,2,Suicide,0,M,49,Black,100,Other unspecified,Matric
242,2012,3,Suicide,0,M,73,White,100,Other unspecified,Matric
243,2012,2,Suicide,0,M,53,White,100,Home,Less than Matric
244,2012,3,Suicide,0,F,24,White,100,Other unspecified,BA+
245,2012,3,Homicide,0,M,45,Black,100,Home,Matric
246,2012,3,Suicide,0,M,52,White,100,Home,Some college
247,2012,3,Suicide,0,M,81,White,100,Home,Matric
248,2012,3,Homicide,0,M,31,Black,100,School/instiution,Less than Matric
249,2012,2,Suicide,0,M,32,Black,100,Other unspecified,Less than Matric
250,2012,2,Homicide,0,M,46,Black,100,Home,BA+
251,2012,2,Suicide,0,F,65,White,100,Home,Matric
252,2012,2,Homicide,0,M,18,Black,100,School/instiution,Matric
253,2012,3,Homicide,0,M,15,Black,100,Home,Less than Matric
254,2012,3,Suicide,0,M,49,White,100,Home,BA+
255,2012,3,Suicide,0,M,51,White,100,Other unspecified,Some college
256,2012,1,Homicide,0,M,29,Black,100,Other unspecified,Matric
257,2012,3,Suicide,0,M,62,White,100,Trade/service area,BA+
258,2012,3,Suicide,0,M,33,Black,211,Home,Matric
259,2012,3,Suicide,0,M,78,White,100,Other unspecified,BA+
260,2012,2,Suicide,0,M,58,White,100,Home,Some college
261,2012,3,Suicide,0,M,34,White,100,Other specified,Some college
262,2012,1,Suicide,0,M,82,White,100,Other unspecified,Matric
263,2012,3,Undetermined,0,M,23,Black,100,Other unspecified,Matric
264,2012,3,Suicide,0,M,83,White,100,Other unspecified,Some college
265,2012,2,Suicide,0,M,50,Black,100,Home,Less than Matric
266,2012,3,Suicide,0,M,13,White,100,Home,Less than Matric
267,2012,3,Homicide,0,M,17,Black,100,Home,Less than Matric
268,2012,3,Suicide,0,M,30,White,100,Home,Matric
269,2012,3,Suicide,0,M,63,White,100,Other specified,Matric
270,2012,3,Suicide,0,M,64,White,100,Street,Some college
271,2012,3,Suicide,0,M,40,White,100,Trade/service area,BA+
272,2012,3,Suicide,0,M,42,White,100,Other unspecified,Some college
273,2012,2,Homicide,0,M,32,Black,100,Street,Less than Matric
274,2012,3,Homicide,0,M,21,White,100,Home,Matric
275,2012,3,Suicide,0,M,37,White,100,Home,Matric
276,2012,3,Suicide,0,M,49,White,100,Street,Less than Matric
277,2012,3,Suicide,0,M,37,White,100,Other unspecified,Matric
278,2012,2,Suicide,0,M,83,White,100,Home,Some college
279,2012,3,Suicide,0,F,54,White,100,Home,Matric
280,2012,4,Suicide,0,M,72,White,100,Home,BA+
281,2012,3,Suicide,0,M,74,White,100,Home,Some college
282,2012,3,Homicide,0,M,54,Black,100,Home,Matric
283,2012,3,Suicide,0,M,34,Black,100,Home,Matric
284,2012,4,Suicide,0,M,74,White,100,Home,Matric
285,2012,2,Homicide,0,M,24,Black,100,Other unspecified,Matric
286,2012,3,Suicide,0,M,46,White,100,Home,BA+
287,2012,3,Suicide,0,M,48,Black,100,Home,Less than Matric
288,2012,3,Suicide,0,M,55,White,100,Home,Less than Matric
289,2012,3,Suicide,0,M,48,White,100,Other unspecified,Less than Matric
290,2012,3,Accidental,0,M,17,Black,100,Home,Less than Matric
291,2012,3,Suicide,0,M,26,White,100,Other unspecified,Matric
292,2012,3,Homicide,0,M,19,Black,100,Home,Less than Matric
293,2012,3,Suicide,0,M,40,White,100,Other unspecified,Matric
294,2012,3,Suicide,0,M,42,Black,100,Trade/service area,Matric
295,2012,3,Suicide,0,M,48,Black,100,Other unspecified,Some college
296,2012,2,Homicide,0,M,21,White,100,Street,Less than Matric
297,2012,3,Homicide,0,M,25,Black,100,Street,Matric
298,2012,3,Homicide,0,M,30,Black,100,Street,Some college
299,2012,3,Suicide,0,M,23,White,100,Other unspecified,Matric
300,2012,4,Suicide,0,M,23,White,100,Home,Matric
301,2012,4,Suicide,0,M,49,White,100,Home,BA+
302,2012,4,Suicide,0,M,30,White,100,Other specified,BA+
303,2012,4,Suicide,0,M,64,White,100,Home,Matric
304,2012,3,Suicide,0,M,47,White,100,Other unspecified,BA+
305,2012,3,Homicide,0,F,68,White,100,Other unspecified,Less than Matric
306,2012,3,Suicide,0,M,68,White,100,Other unspecified,BA+
307,2012,3,Suicide,0,M,27,White,100,Trade/service area,Matric
308,2012,3,Suicide,0,M,29,Black,100,Home,Some college
309,2012,3,Homicide,0,F,31,Black,100,Home,Less than Matric
310,2012,4,Suicide,0,F,40,White,100,Home,Some college
311,2012,4,Suicide,0,M,41,White,100,Home,Matric
312,2012,3,Homicide,0,M,33,Black,100,Home,Less than Matric
313,2012,4,Homicide,0,M,48,White,100,Trade/service area,Less than Matric
314,2012,4,Suicide,0,M,19,White,100,Other unspecified,Less than Matric
315,2012,3,Suicide,0,M,52,White,100,Home,Matric
316,2012,4,Suicide,0,M,75,White,100,Home,Less than Matric
317,2012,3,Suicide,0,M,21,White,100,Other unspecified,Some college
318,2012,4,Accidental,0,M,24,White,100,Other unspecified,Matric
319,2012,4,Suicide,0,M,37,White,100,Home,Matric
320,2012,4,Suicide,0,F,37,White,100,Home,Some college
321,2012,4,Homicide,0,M,43,White,100,Home,Matric
322,2012,4,Suicide,0,M,53,White,100,Home,Matric
323,2012,3,Suicide,0,M,43,Black,100,Home,BA+
324,2012,3,Suicide,0,F,43,White,100,Other specified,Some college
325,2012,4,Suicide,0,M,28,White,100,Other unspecified,Matric
326,2012,3,Homicide,0,M,19,Black,100,Other unspecified,Matric
327,2012,3,Suicide,0,M,54,White,100,Home,BA+
328,2012,4,Suicide,0,M,86,White,100,Home,Less than Matric
329,2012,4,Suicide,0,M,37,White,100,Home,Less than Matric
330,2012,4,Homicide,0,M,17,Black,100,Home,Less than Matric
331,2012,4,Suicide,0,F,46,White,100,Home,Some college
332,2012,4,Suicide,0,M,54,White,100,Home,Less than Matric
333,2012,4,Suicide,0,M,52,White,100,Home,Some college
334,2012,4,Homicide,0,F,44,White,100,Home,Matric
335,2012,4,Suicide,0,F,40,White,100,Other specified,BA+
336,2012,4,Homicide,0,F,24,Black,100,Other unspecified,Matric
337,2012,4,Suicide,0,M,22,White,100,Other unspecified,Less than Matric
338,2012,4,Suicide,0,F,69,White,100,Home,Matric
339,2012,4,Suicide,0,M,47,White,100,Other unspecified,BA+
340,2012,4,Suicide,0,F,32,White,100,Home,Less than Matric
341,2012,4,Suicide,0,M,21,White,100,Home,Matric
342,2012,4,Homicide,0,M,26,Black,100,Trade/service area,Less than Matric
343,2012,4,Suicide,0,M,63,White,100,Home,Matric
344,2012,4,Homicide,0,M,28,Black,100,Other specified,Matric
345,2012,4,Suicide,0,M,72,White,100,Home,Less than Matric
346,2012,3,Suicide,0,M,57,Black,100,Home,BA+
347,2012,4,Suicide,0,M,52,White,100,Home,Some college
348,2012,4,Suicide,0,M,69,White,100,Home,BA+
349,2012,4,Suicide,0,M,50,White,100,Home,Some college
350,2012,4,Suicide,0,M,40,White,100,Home,Matric
351,2012,4,Homicide,0,M,36,Black,100,Home,Matric
352,2012,4,Suicide,0,M,40,White,100,Other unspecified,Matric
353,2012,3,Suicide,0,M,28,Black,100,Other unspecified,Matric
354,2012,3,Homicide,0,M,21,Black,100,Other specified,Less than Matric
355,2012,4,Accidental,0,M,53,Black,100,Other unspecified,Matric
356,2012,4,Suicide,0,M,16,White,100,Home,Less than Matric
357,2012,4,Suicide,0,F,29,Black,100,Street,Some college
358,2012,4,Suicide,0,F,48,White,100,Street,BA+
359,2012,4,Suicide,0,M,32,Black,100,Home,Matric
360,2012,4,Undetermined,0,M,20,Black,100,Home,Less than Matric
361,2012,4,Homicide,0,M,20,Black,100,Street,Matric
362,2012,4,Suicide,0,M,39,White,100,Street,Less than Matric
363,2012,4,Suicide,0,M,19,White,100,Home,Matric
364,2012,3,Homicide,0,M,44,Black,100,Home,Some college
365,2012,5,Accidental,0,M,63,White,100,Home,Less than Matric
366,2012,5,Homicide,0,M,17,Black,100,Home,Matric
367,2012,5,Suicide,0,M,43,White,100,Home,Some college
368,2012,5,Homicide,0,M,47,Black,100,Home,Matric
369,2012,4,Homicide,0,M,29,Black,100,Home,Matric
370,2012,5,Suicide,0,M,75,Black,100,Home,Matric
371,2012,3,Homicide,0,M,22,Black,100,Street,Less than Matric
372,2012,3,Homicide,0,M,28,Black,100,Other unspecified,Matric
373,2012,4,Suicide,0,M,18,White,100,Home,Less than Matric
374,2012,5,Suicide,0,M,84,White,100,Home,Matric
375,2012,5,Suicide,0,M,29,White,100,Home,Matric
376,2012,5,Suicide,0,M,20,Black,100,Other unspecified,Some college
377,2012,5,Suicide,0,M,18,White,100,Home,Less than Matric
378,2012,5,Homicide,0,F,30,White,100,Other unspecified,Matric
379,2012,5,Suicide,0,M,50,White,100,Home,Matric
380,2012,5,Suicide,0,M,36,White,100,Street,Some college
381,2012,5,Suicide,0,M,88,White,100,Home,Matric
382,2012,5,Suicide,0,M,29,White,100,Home,Less than Matric
383,2012,5,Suicide,0,M,87,White,100,Home,BA+
384,2012,4,Homicide,0,M,13,Black,100,Other specified,Less than Matric
385,2012,4,Homicide,0,F,17,White,100,Home,Matric
386,2012,5,Suicide,0,M,40,White,100,Home,Some college
387,2012,5,Homicide,0,F,20,Coloured,100,Home,Some college
388,2012,5,Suicide,0,M,58,White,100,Street,BA+
389,2012,5,Suicide,0,M,25,White,100,Home,Some college
390,2012,5,Suicide,0,M,34,White,100,Other specified,BA+
391,2012,5,Suicide,0,M,26,White,100,Home,Matric
392,2012,5,Suicide,0,F,44,White,100,Street,Less than Matric
393,2012,4,Homicide,0,M,44,Black,100,Street,Matric
394,2012,5,Suicide,0,M,74,White,100,Other unspecified,BA+
395,2012,5,Suicide,0,M,82,White,100,Other unspecified,Some college
396,2012,5,Homicide,0,M,27,White,100,Other specified,Matric
397,2012,5,Suicide,0,M,61,White,100,Sports,BA+
398,2012,5,Suicide,0,M,44,White,100,Home,BA+
399,2012,5,Suicide,0,M,34,White,100,Home,Matric
400,2012,5,Suicide,0,M,58,White,100,Other specified,BA+
401,2012,5,Suicide,0,M,74,White,100,Home,Matric
402,2012,5,Suicide,0,M,67,White,100,Home,Matric
403,2012,5,Suicide,0,M,73,White,100,Home,Matric
404,2012,5,Suicide,0,M,55,White,100,Home,Matric
405,2012,4,Suicide,0,F,55,White,100,Home,Matric
406,2012,5,Suicide,0,M,22,Black,100,Home,Less than Matric
407,2012,6,Homicide,0,M,33,White,100,Home,Less than Matric
408,2012,6,Suicide,0,M,40,White,100,Home,Some college
409,2012,6,Suicide,0,M,25,White,100,Home,Matric
410,2012,5,Suicide,0,M,52,White,100,Home,Less than Matric
411,2012,6,Suicide,0,M,47,White,100,Other unspecified,Some college
412,2012,4,Homicide,0,M,32,Black,100,Street,Less than Matric
413,2012,5,Homicide,0,M,33,Black,100,Street,Matric
414,2012,4,Suicide,0,M,23,White,100,Other unspecified,Matric
415,2012,6,Suicide,0,M,17,Black,100,Home,Less than Matric
416,2012,5,Suicide,0,F,69,White,100,Home,Matric
417,2012,6,Homicide,0,M,22,Black,100,Trade/service area,Matric
418,2012,4,Homicide,0,M,45,White,100,Home,Less than Matric
419,2012,6,Homicide,0,M,53,White,100,Home,Matric
420,2012,5,Suicide,0,M,78,White,100,Home,Some college
421,2012,6,Suicide,0,M,68,White,100,Home,BA+
422,2012,5,Homicide,0,M,33,Black,100,Home,Less than Matric
423,2012,6,Suicide,0,M,55,White,100,Home,Matric
424,2012,5,Suicide,0,M,30,White,100,Other unspecified,Some college
425,2012,5,Homicide,0,M,71,White,100,Other unspecified,Less than Matric
426,2012,5,Suicide,0,M,64,White,100,Home,BA+
427,2012,6,Suicide,0,M,45,White,100,Home,Matric
428,2012,5,Suicide,0,M,60,White,100,Home,Some college
429,2012,5,Accidental,0,F,20,Black,100,Home,Less than Matric
430,2012,5,Suicide,0,M,60,White,100,Home,Matric
431,2012,5,Suicide,0,F,30,White,100,Home,Some college
432,2012,6,Homicide,0,M,13,White,100,Home,Less than Matric
433,2012,6,Homicide,0,M,3,White,100,Other unspecified,NA
434,2012,5,Suicide,0,M,34,Black,100,Street,Some college
435,2012,5,Suicide,0,M,26,Black,100,Home,Matric
436,2012,5,Suicide,0,M,64,White,100,Home,Matric
437,2012,5,Suicide,0,M,48,White,100,Home,Less than Matric
438,2012,6,Suicide,0,F,39,White,100,Home,Matric
439,2012,5,Homicide,0,M,32,Black,100,Trade/service area,Matric
440,2012,6,Suicide,0,M,63,White,100,Home,Less than Matric
441,2012,6,Homicide,0,F,29,White,100,Home,Less than Matric
442,2012,6,Homicide,0,M,42,White,100,Home,Matric
443,2012,6,Homicide,0,M,20,Black,100,Home,Less than Matric
444,2012,6,Homicide,0,F,18,White,100,Home,Some college
445,2012,6,Suicide,0,M,55,White,100,Home,Less than Matric
